Error Code,원인 및 조치,,
3020,"- 원인: 관성 센서 불량

- 고객 직접 조치 방법:
재부팅 후 마커를 인식하여 사용해주세요.",,
2034,"- 원인: 인스톨러(맵셋팅) 오류

- 고객 직접 조치 방법:
재부팅 후 로봇을 주행가능한 영역으로 이동하여 사용해주세요.",,
2033,"- 원인: 인스톨러(맵셋팅) 오류

- 고객 직접 조치 방법:
재부팅 후 로봇을 주행가능한 영역으로 이동하여 사용해주세요.
",,
2030,"- 원인: 인스톨러(맵셋팅) 오류

- 고객 직접 조치 방법: 
재부팅 후 로봇을 주행가능한 영역으로 이동하여 사용해주세요.
",,
2020,"- 원인: 매장 내 테이블 배치 변경

- 고객 직접 조치 방법: 
에러가 발생되는 목적지를 주행가능 영역으로 이동 시켜야 합니다. 설정화면에서 하기와 같이 설정해주세요.
1. 운영장소 : 설정 > 운영 장소 > 대기/퇴식/충전 장소 선택 > 로봇 이동 > 위치 변경
2. 이동장소 : 설정 > 이동 장소 > 일반 경유지 > 목적지 우측 > 로봇 이동 > 위치 변경",,
6001,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6002,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6003,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6004,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6005,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.
",,
6006,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6007,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6008,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6009,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
6010,"- 원인: SW 업데이트 에러

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
3080,"- 원인: SW 에러

- 고객 직접 조치 방법:
1차 : 로봇 Power Off -> On
2차 : 재부팅 후, 동일 에러 발생 시 출동 필요",,
4060,"- 원인: 모터 불량

- 고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.",,
4081,"- 원인: 라이다 센서 불량

- 고객 직접 조치 방법:
고객 직접 조치가 불가능하며, 제조사 출동서비스가 필요합니다.",,
4040,"- 원인: 관성 센서 불량

- 고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.",,
4300,"- 원인: 모터 불량

- 고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.",,
4100,"- 원인: HW 에러

- 고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.",,
8000,"- 원인: 배터리 불량

- 고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.",,
8001,"- 원인: 전원부 불량

- 고객 직접 조치 방법:
로봇과 충전기 전원을 OFF한 후 5초뒤 ON하여 정상 동작 여부 확인해주세요., 충전기 콘센트 역시 연결상태를 확인해주세요.",,
8002,"- 원인: 전원부 불량

- 고객 직접 조치 방법:
로봇과 충전기 전원을 OFF한 후 5초뒤 ON하여 정상 동작 여부 확인해주세요., 충전기 콘센트 역시 연결상태를 확인해주세요.",,
8003,"- 원인: 배터리 불량

- 고객 직접 조치 방법:
배터리 스위치를 OFF한 뒤, 5초 뒤 다시 ON하여 재부팅 해보세요. 그래도 동일 에러가 발생한다면, 출동 서비스가 필요합니다.",,
8180,"- 원인: 배터리 불량

- 고객 직접 조치 방법:
배터리 스위치를 OFF한 뒤, 5초 뒤 다시 ON하여 재부팅 해보세요. 그래도 동일 에러가 발생한다면, 출동 서비스가 필요합니다.",,
8181,"- 원인: 배터리 불량

- 고객 직접 조치 방법:
배터리 스위치를 OFF한 뒤, 5초 뒤 다시 ON하여 재부팅 해보세요. 그래도 동일 에러가 발생한다면, 출동 서비스가 필요합니다.",,
8182,"- 원인: 배터리 불량

- 고객 직접 조치 방법:
배터리 스위치를 OFF한 뒤, 5초 뒤 다시 ON하여 재부팅 해보세요. 그래도 동일 에러가 발생한다면, 출동 서비스가 필요합니다.",,
8183,"- 원인: 배터리 불량

- 고객 직접 조치 방법:
배터리 스위치를 OFF한 뒤, 5초 뒤 다시 ON하여 재부팅 해보세요. 그래도 동일 에러가 발생한다면, 출동 서비스가 필요합니다.",,
8184,"- 원인: 배터리 불량

- 고객 직접 조치 방법:
배터리 스위치를 OFF한 뒤, 5초 뒤 다시 ON하여 재부팅 해보세요. 그래도 동일 에러가 발생한다면, 출동 서비스가 필요합니다.
",,
4050,"원인: 충돌

고객 직접 조치 방법:
""(1세대)구동부 하단 고무 범퍼를 앞쪽으로 부드럽게 당겨주세요.
(2세대)구동부 하단 TOF센서 이물질 제거해주세요.""",,
2021,"원인: 전원부 불량

고객 직접 조치 방법:
""- 화면을 확인하여 장애물 문제인 경우 장애물 제거 후 확인버튼을 눌러주세요.
- 화면을 확인하여 충전 실패인 경우 재부팅 후 대기상태에서 충전장소 이동을 눌러주세요.""
",,
2022,"원인: 전원부 불량

고객 직접 조치 방법:
장애물 제거 후 확인 버튼을 눌러주세요. 언도킹 실패가 3회 이상 반복될 경우 출동서비스 연결이 필요합니다.
",,
2040,"원인: 인스톨러(맵셋팅) 오류

고객 직접 조치 방법:
""1. 로봇을 주행가능한 지역으로 이동시킨 후, 화면에서 문제해결 선택 > 확인 > 복구
2. 로봇을 주행가능한 지역으로 이동 후 동일에러 발생 시 [내 위치 찾기 실행], 화면에서 설정 > 내 위치 찾기 > (FSALM)마커 인식, (VSLAM)제자리 회전을 선택하세요.
3. 동일에러 발생시 로봇 Power Off -> On을 실행해주세요.""",,
2041,"원인: 인스톨러(맵셋팅) 오류

고객 직접 조치 방법:
""1-1. 문제가 발생하는 목적지 이동
로봇 재부팅&마커 인식 후 > 설정 > 이동 장소 > 일반 경유지 > (문제가 되는 목적지)선택 > 로봇을 테이블로 이동 > 위치 변경
1-2. 문제가 발생하는 목적지가 대기장소인 경우
설정 > 운영 장소 > 대기 장소 > 선택 > 주변 충분한 공간을 두고 위치 변경""",,
2042,"원인: 인스톨러(맵셋팅) 오류

고객 직접 조치 방법:
로봇 Power Off후 on하여 주세요.
",,
3000,"""원인: 인스톨러(맵셋팅) 오류

고객 직접 조치 방법:
주행 경로 내에 고정장애물이나, 주행불가 상황을 야기시키는 환경인지 확인해주시고, 센서에 이물질 여부를 확인해주세요.
""",,
4090,"""원인: 3D 카메라(전면) 불량

고객 직접 조치 방법:
Depth Camera 전방/상방의 장애물이나 가림물체 제거 후 HW재부팅을 실행해주세요.
""",,
4091,"""원인: 3D 카메라(전면) 불량

고객 직접 조치 방법:
Depth Camera 전방/상방의 장애물이나 가림물체 제거 후 HW재부팅을 실행해주세요.
""",,
4092,"""원인: 3D 카메라(전면) 불량

고객 직접 조치 방법:
RGB Camera 전방의 장애물이나 가림물체 제거 후 W재부팅을 실행해주세요.
""",,
2035,"""원인: HW에러

고객 직접 조치 방법:
로봇을 주행가능한 지역으로 이동시킨뒤 로봇 Power OFF -> On하여 내 위치 찾기를 진행해주세요.
""",,
4041,"""""""원인: 수동조작에 따른 맵 정보 불일치

고객 직접 조치 방법:
의도적으로 로봇을 이동하거나 기울이셨다면, 로봇을 다시 정상 상태로 세워 위치 후 재부팅하여 사용가능합니다.
""""""",,
4050,"""""""원인: 충돌

고객 직접 조치 방법:
(일시적인 범퍼 충돌은 로봇이 다시 움직입니다.)
1세대 : 구동부 하단 고무 범퍼 앞으로 부드럽게 당김으로 해결가능합니다.
2세대 : 구동부 하단 센서(tof) 이물제거해주세요.
""""""",,
4020,"""""""원인: 충돌

고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.
""""""""",,
4080,"""""""원인: 라이다 센서 불량

고객 직접 조치 방법:
먼저 로봇을 재부팅해보시고, 그래도 같은 에러가 발생한다면, 출동서비스가 필요합니다.
""""""""",,