Name,"pose.position x, y",Description
식당,"-67.000082, 4.58386","이 장소는 식당입니다. 이곳에서는 다양한 음식을 맛볼 수 있습니다. 이곳은 KT 직원들과 방문객이 아침, 점심과 저녁을 먹는 곳입니다."
매점,"-49.851665, -0.905534","이 장소는 매점입니다. 이곳에서는 다양한 물품을 구매할 수 있습니다. 이곳은 KT 회사의 매점입니다. KT 직원들 뿐만 아니라, 외부인도 이곳에서 물품을 구매할 수 있습니다."
윤명로_미술작품,"-63.964687, -1.766161","윤명로 작가의 얼레짓과 훈륜작품으로, 얼레짓은 연을 날리며 얼레를 돌리거나 여인이 머리를 감고 얼레빗으로 빗질하는 동작을 표현하여 한국인의 정서와 정신을 담아내고 면포를 사용하고 먹과 수용성 아크릴을 활용하여 동양적 재료로 표현한 작품이다. ‘훈륜’은 빛의 세계를 의미하는 메타포로 사용되며 한국적 체질과 정신주의를 탐구하고자 하는 표현적 시도가 엿보이는 작품이다."
박석원_미술작품_2,"-72.20954, -20.208444","박석원 작가의 '적의 9009: 시간의 파문' 작품으로 중심부의 원형은 태양을 연상시키며 에너지를 표현하였으며, 중심부의 거친 표면은 자연의 힘에 의해 마모된 느낌을 주고 시간의 흐름과 자연의 힘을 상징하고 있다. 고리들이 파문처럼 퍼져나가는 형태로, 우주와 자연의 순환을 상징하며, 일부 깨진 고리들은 인생의 불완전함과 예측할 수 없는 변화를 나타내고 어두운 색조와 청동의 거친 표면은 고대 유물의 신비로움과 역사성을 강조하는 작품이다."
박석원_미술작품_1,"-73.681513, -21.144902","박석원 작가의 '적의 9009: 자연의 조각들'이라는 작품으로 다섯 개의 거친 돌 조각이 원형의 받침대 위에 배치하였다. 돌 조각들은 자연의 원초적인 힘과 아름다움을 표현하며, 원형의 받침대는 돌 조각들의 특별한 의미를 강조하여 자연과 인간의 조화로운 관계를 상징하고 별자리나 행성의 배열을 연상시키며 우주와 자연의 질서를 나타내고 있다."
2020년대_연구소역사전시,"-31.064579, -1.252523","이 장소는 2020년대의 KT 연구소의 역사를 소개하는 곳으로, 주요 연구 과제로는, Network AI 자동화 & 지능화, Industry AI GiGAtwin 기술개발, Next Genie Big Project, 초거대 AI 믿:음, 통신DX 2.0 Big Project가 있다."
2010년대_연구소역사전시,"-28.991672, -1.090514","이 장소는 2010년대의 KT 연구소의 역사를 소개하는 곳으로, 주요 연구 과제로는 Open IPTV 2.0, From Dumb To Smart, Smart Share Of Software, olleh tv 웹 전환 상용기술 개발, GiGA Office 기술개발이 있다."
2000년대_연구소역사전시,"-27.114779, -1.048433","이 장소는 2000년대의 KT 연구소의 역사를 소개하는 곳으로, 주요 연구 과제로는 인터넷/데이터 통합서비스 및 망관리시스템 개발, ANSWERS 시스템 Version3.0 개발, U-City 솔루션개발, 글로벌 OSS개발, 옥내용 무선접속 시스템 개발 프로젝트가 있다."
1990년대_연구소역사전시,"-24.883316, -1.088455","이 장소는 1990년대의 KT 연구소의 역사를 소개하는 곳으로, 주요 연구 과제로는 광가입자 전송시스템 기술 개발, 한국인터넷망의 고속화 및 관리시스템 개발, 하이텔전화번호 시스템 개발, 전자교환기 집중과금처리 시스템 후속개발, 정보탐정 개발 프로젝트가 있다."
카페,"-21.491943, -0.692552",이 장소는 카페(까페)입니다. 이곳에서는 다양한 음료를 즐길 수 있습니다. 이곳에서는 회사를 방문하는 모두를 위한 KT 회사의 카페입니다.
여자화장실,"-33.698988, -9.134287",이 장소는 첫 번째 여자화장실 입니다. 회사를 방문하는 모두가 이용할 수 있습니다.
남자화장실,"-72.731505, -8.083957",이 장소는 첫 번째 남자화장실 입니다. 회사를 방문하는 모두가 이용할 수 있습니다.
QR코드_부착장소,"-73.792597, -24.081324",이 장소는 QR코드 입니다. 이곳에서 QR코드를 스캔하면 다양한 정보를 얻을 수 있습니다.
스마트단말SW팀_사무실,"-73.960456, -26.285084",이 장소는 스마트단말SW 연구팀이 있는 사무공간입니다. 스마트단말SW 연구팀은 로봇을 포함한 여러 단말들을 연구하고 제작합니다.
로봇AX솔루션팀_사무실,"-67.870395, -24.876485","이 장소는 로봇AX솔루션 팀이 있는 사무공간입니다. 로봇AX솔루션 팀은 안내 로봇을 제작하였습니다. 안내로봇에 문제가 생길 경우, 방문할 수 있습니다."